Degree,N,Solve Time,Objective Value,Integral of Square Error
4,23,0.667170763015747,0.060189420528503,0.060189420528503
4,24,0.723770380020142,0.060145194516232,0.060145194516232
4,25,0.800289392471314,0.060140016614908,0.060140016614908
4,26,1.155482292175293,0.060150012257222,0.060150012257223
4,27,0.970206975936890,0.060155475222770,0.060155475222770
4,28,1.052132844924927,0.060142281683232,0.060142281683232
4,29,1.173993587493896,0.060124045839686,0.060124045839686
4,30,1.329356670379639,0.060124524997900,0.060124524997900
4,31,1.364196538925171,0.060130650282318,0.060130650282318
4,32,1.480799674987793,0.060133347914731,0.060133347914731
4,33,1.735829353332520,0.060124722568468,0.060124722568468
4,34,1.643522500991821,0.060116667251816,0.060116667251816
4,35,1.658560991287232,0.060118483663340,0.060118483663340
4,36,1.732155799865723,0.060121961053114,0.060121961053114
4,37,1.829397916793823,0.060123714800075,0.060123714800075
4,38,2.439112186431885,0.060118185021247,0.060118185021247
4,39,2.877726554870606,0.060112745734516,0.060112745734516
4,40,2.544023752212524,0.060114603332840,0.060114603332840
4,41,2.368490457534790,0.060117333148804,0.060117333148804
5,6,0.020949363708496,0.068783173826047,0.068783173826047
5,7,0.033806324005127,0.063234661198510,0.063234661198510
5,8,0.034669399261475,0.063320507570768,0.063320507570768
5,9,0.064149141311646,0.062153750386481,0.062153750386481
5,10,0.081542968750000,0.061222990253114,0.061222990253114
5,11,0.113042593002319,0.061263629457772,0.061263629457772
5,12,0.215900659561157,0.061126267301156,0.061126267301156
5,13,0.218899965286255,0.060641977335789,0.060641977335789
5,14,0.220996141433716,0.060443825253442,0.060443825253442
5,15,0.246761560440063,0.060489438397487,0.060489438397487
5,16,0.379082679748535,0.060457506746483,0.060457506746483
5,17,0.475334882736206,0.060323119469275,0.060323119469275
5,18,0.458140134811401,0.060219029392773,0.060219029392773
5,19,0.577642440795898,0.060209991887546,0.060209991887546
5,20,0.593817234039307,0.060232699493618,0.060232699493618
5,21,0.681180715560913,0.060225314941575,0.060225314941575
5,22,0.806494712829590,0.060169413653043,0.060169413653043
5,23,0.798430681228638,0.060152463803096,0.060152463803096
5,24,1.342086076736450,0.060162568953491,0.060162568953491
5,25,1.044289588928223,0.060173072886811,0.060173072886811
5,26,1.465474367141724,0.060160727041383,0.060160727041383
5,27,1.239607095718384,0.060133121905774,0.060133121905774
5,28,1.346741914749146,0.060129287205119,0.060129287205119
5,29,1.886089801788330,0.060136470337484,0.060136470337484
5,30,2.122182369232178,0.060140957697832,0.060140957697832
5,31,1.816364526748657,0.060133877402314,0.060133877402314
5,32,2.200930356979370,0.060119926482930,0.060119926482930
5,33,2.155461072921753,0.060120052656756,0.060120052656756
5,34,1.937461614608765,0.060124846877676,0.060124846877676
5,35,2.297911167144776,0.060127982604385,0.060127982604385
5,36,2.418666839599610,0.060123512015569,0.060123512015569
5,37,4.602938175201416,0.060114473660059,0.060114473660059
5,38,2.833171129226684,0.060115523213200,0.060115523213200
5,39,2.779426574707031,0.060118881046904,0.060118881046904
5,40,2.978583097457886,0.060121277672917,0.060121277672917
5,41,3.222447872161865,0.060119793681859,0.060119793681860
